"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"PHJJKLOP_01713",24200.8934556341,22148.1191414491,23264.8185040163,66452.4792172714,62579.5368553456,58353.0016945851
"PHJJKLOP_01714",53664.2568704065,53671.7618752344,52891.4608300387,100670.540080304,99394.4932075668,104889.141514598
"PHJJKLOP_01715",1.15506364335787,1.97504183533521,0,0,0.90599129696619,0
"PHJJKLOP_01716",0,0,0,0,0,0
"PHJJKLOP_01717",2.31012728671574,3.95008367067043,5.33352097753698,4.55172672967871,2.71797389089857,5.94559088028785
"PHJJKLOP_01718",2519.19380616351,2364.12507689625,2431.01886156136,1196.19378455957,1252.07997240727,1210.91867595196
"PHJJKLOP_01719",1677.15241015562,1941.46612413451,1880.59949667954,3184.38802008323,2389.09905009984,2678.48869156968
"PHJJKLOP_01720",5983.22967259376,5522.21697159726,5660.99916555775,9597.77098220054,7604.8909467342,7720.34975805378
"PHJJKLOP_01721",1645.96569178496,1547.44527798514,1490.18576112383,964.055721345952,932.265044578209,938.4124272721
"PHJJKLOP_01722",1837.70625658237,1683.72316462327,1619.25696878023,707.338333792072,840.759923584624,781.845200757853
"PHJJKLOP_01723",2268.54499555485,2527.06602831141,2393.6842147186,1434.70426519473,1608.13455211499,1818.3598775547
